2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lager,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout
Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager
Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Lager,Pale Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale
Lager,Lager,Lager,Lager,Pilsener,Lager,Lager,Lager,Lager,Lager,Lager,Lager
Pilsener,Pilsener,Pilsener,Lager,Lager,Lager,Pilsener,Lager,Stout,Lager,Lambic & Sour Ale,Stout
Bitter,Bitter,Bitter,Bitter,Bitter,Bitter,Bitter,Bitter,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lager,Belgian Ale,Lager,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale
Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener,Pilsener
Belgian Ale,Belgian Ale,Lager,Pale Ale,Lager,Pale Ale,Pale Ale,Stout,Stout,Pale Ale,Pale Ale,Pale Ale
Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Lager,Lager,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Pale Ale,Pale Ale
Bitter,Bitter,Bitter,Belgian Ale,Belgian Ale,Belgian Ale,Lager,Belgian Ale,Belgian Ale,Lager,Pale Ale,Pale Ale
Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Stout
Bitter,Lager,Lager,Pale Ale,Pale Ale,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Bitter,Belgian Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Pale Ale
Lager,Lager,Lager,Lager,Lager,Pilsener,Pilsener,Lager,Pale Ale,Pale Ale,Lager,Stout
Bitter,Bitter,Lager,Bitter,Bitter,Bitter,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Belgian Ale,Belgian Ale,Lager,Bitter,Bitter,Bitter,Lager,Lager,Lager,Lager,Lager,Pale Ale
Lager,Lager,Lager,Lager,Lager,Lager,Lager,Lager,Pale Ale,Pale Ale,Stout,Stout
Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale
Belgian Ale,Belgian Ale,Stout,Pale Ale,Stout,Stout,Pale Ale,Pale Ale,Pale Ale,Stout,Belgian Ale,Lambic & Sour Ale
Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Pale Ale
Belgian Ale,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Pale Ale,Stout,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Pale Ale,Pale Ale,Lambic & Sour Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Lager,Belgian Ale,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale
Pale Ale,Pale Ale,Pale Ale,Stout,Lager,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Lambic & Sour Ale,Pale Ale
Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Stout
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout
Lager,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Lager,Stout,Stout,Stout,Stout
Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Pale Ale,Stout,Stout,Pale Ale
Lager,Lager,Belgian Ale,Pale Ale,Pale Ale,Stout,Lager,Stout,Stout,Stout,Pale Ale,Pale Ale
