2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Bock,Belgian Ale,Lambic & Sour Ale,Stout,Belgian Ale
Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Stout,Brown Ale,Stout,Stout,Stout
Wheat Beer,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale
Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Porter,Belgian Ale,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Belgian Ale,Lambic & Sour Ale
Belgian Ale,Stout,Stout,Stout,Stout,Stout,Lambic & Sour Ale,Stout,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale
Belgian Ale,Pale Ale,Lambic & Sour Ale,Belgian Ale,Stout,Bock,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Lambic & Sour Ale,Lambic & Sour Ale
Stout,Belgian Ale,Stout,Lambic & Sour Ale,Stout,Stout,Stout,Stout,Bock,Stout,Belgian Ale,Lambic & Sour Ale
Belgian Ale,Bock,Porter,Stout,Belgian Ale,Belgian Ale,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout
Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Lambic & Sour Ale,Lambic & Sour Ale,Belgian Ale
Belgian Ale,Belgian Ale,Stout,Stout,Alternative/Traditional,Pale Ale,Pale Ale,Stout,Stout,Stout,Pale Ale,Stout
Belgian Ale,Belgian Ale,Stout,Pale Ale,Belgian Ale,Belgian Ale,Bock,Belgian Ale,Stout,Belgian Ale,Belgian Ale,Stout
Bock,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale
Brown Ale,Stout,Stout,Lambic & Sour Ale,Belgian Ale,Belgian Ale,Belgian Ale,Belgian Ale,Stout,Stout,Stout,Pale Ale
Stout,Belgian Ale,Stout,Stout,Brown Ale,Stout,Brown Ale,Belgian Ale,Stout,Stout,Stout,Stout
Belgian Ale,Stout,Porter,Stout,Belgian Ale,Pale Ale,Brown Ale,Belgian Ale,Alternative/Traditional,Scottish Ale,Belgian Ale,Stout
Pale Ale,Pale Ale,Stout,Stout,Stout,Pale Ale,Stout,Stout,Lambic & Sour Ale,Lambic & Sour Ale,Lambic & Sour Ale,Stout
Belgian Ale,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Stout,Lambic & Sour Ale,Stout
Bock,Stout,Belgian Ale,Lambic & Sour Ale,Stout,Belgian Ale,Belgian Ale,Belgian Ale,Brown Ale,Bock,Bock,Lambic & Sour Ale
